Task,Method,Avg CR,Best Perf,Metric
GSM8K,AdaptPrompt-ICL,0.418,0.84,Accuracy
GSM8K,AdaptPrompt-ICL-noB,0.418,0.85,Accuracy
GSM8K,AdaptPrompt-ICL-noA,0.501,0.86,Accuracy
GSM8K,LLMLingua,0.391,0.74,Accuracy
GSM8K,Full Prompt (8-shot),1.0,0.86,Accuracy
NarrativeQA,Full Prompt (baseline),1.0,0.0715,F1
NarrativeQA,Random Drop (baseline),0.505,0.0746,F1
NarrativeQA,TF-IDF (baseline),0.575,0.0835,F1
NarrativeQA,BM25 (baseline),0.575,0.0802,F1
NarrativeQA,LLMLingua (baseline),0.381,0.0789,F1
NarrativeQA,Selective Context (baseline),0.433,0.0796,F1
NarrativeQA,AdaptPrompt,0.407,0.0446,F1
NarrativeQA,AdaptPrompt-noB,0.413,0.0502,F1
NarrativeQA,AdaptPrompt-noA,0.543,0.0531,F1
NarrativeQA,LLMLingua,0.3,0.0534,F1
Multi-News,Full Prompt (baseline),1.0,0.3582,ROUGE-1
Multi-News,Random Drop (baseline),0.499,0.3581,ROUGE-1
Multi-News,TF-IDF (baseline),0.628,0.3661,ROUGE-1
Multi-News,BM25 (baseline),0.631,0.3677,ROUGE-1
Multi-News,LLMLingua (baseline),0.374,0.3779,ROUGE-1
Multi-News,Selective Context (baseline),0.437,0.3542,ROUGE-1
Multi-News,AdaptPrompt,0.537,0.3319,ROUGE-1
Multi-News,AdaptPrompt-noB,0.541,0.3321,ROUGE-1
Multi-News,AdaptPrompt-noA,0.603,0.3385,ROUGE-1
Multi-News,LLMLingua,0.331,0.3351,ROUGE-1
